"beta1","beta2"
0.029857646271425585,0.016457958991683855
0.0023363685744222248,0.04613192258386556
0.026386213494998617,0.0182217475391286
0.02855145883486729,0.013168049530442831
0.01793526743864759,0.024552550093835182
0.01110319202616415,0.036958717005317075
0.02109924546295003,0.022890484115145694
0.04045453690863546,0.008171551525839385
0.01709992305563165,0.026488229895372178
0.04021806138272605,0.00427066762818504
0.015327481052568682,0.033162063144677456
0.007607000170160926,0.031423313197354634
0.0030968016710957854,0.036999391956775936
0.007566154030074227,0.043648327821488496
0.0008607765324515375,0.04839674285427445
0.010035316775227811,0.031045972128864008
0.016065000735587517,0.02910350407397426
0.0016901784934845543,0.04883902502617571
0.019090442252388328,0.02433472645396187
0.020825519517041487,0.022391322373776407
0.026075198691045964,0.020282297416520368
0.02436531643247153,0.018299324001916216
0.009052308865237156,0.04066974657547263
0.014356075480308256,0.03148952709358395
0.03280980289938928,0.008778372438971173
0.006612723240814173,0.04268932189139462
0.004485628599338273,0.04523838079518655
0.023937286862321022,0.02195918705654015
0.00432162049401798,0.03604957731042575
0.0037521674918147034,0.047029544638314366
0.01031880134559699,0.03761296609410283
0.025008397275962976,0.02010731196995268
0.019581815545109245,0.026253814907817218
0.008527301507875513,0.03879554390869147
0.003840241572928468,0.05081848658927445
0.020773981298067873,0.022014923315280245
0.023891774398153362,0.021926477345517878
0.0014312144177590022,0.03467047200423947
0.02104275584357379,0.023628202318597847
0.00776086279305874,0.03407103093411011
0.010687265426810954,0.03730984577732914
0.000972507737067116,0.05542876371967502
0.01889185337828203,0.025428228664606544
0.02490367833994488,0.019197573137630854
0.010640785910562684,0.030076788430529747
0.020645742988114602,0.0222092831732083
0.020891115212364086,0.020980036610088938
0.039032012423525476,0.003920356490454554
0.024807456672481812,0.020458834477922374
0.01064194882395863,0.035866159308293094
0.018360568896975665,0.026163336477917364
0.0198644086940638,0.025314661780482566
0.028198286417412084,0.017597203388022488
0.01677559249313985,0.02906221307599718
0.023372114964338997,0.020705734461057307
0.009327088559842904,0.03749688035807961
0.02057517080055486,0.021913245757943157
0.024271169451639325,0.02014298180874998
0.0064833898700959545,0.03318051221103556
0.020957754937269705,0.021875001288134903
0.03030615628152512,0.015376413703245164
0.02442067291382455,0.017130964604748566
0.03971978741028831,0.008602770301419795
0.020577309546162194,0.023913744313377887
0.02372620145034049,0.02102336207032914
0.016076933300855356,0.03045997508150204
0.006174687374769099,0.044627200277559245
0.021711073931139493,0.016906442551260767
0.002302583351197883,0.05262985563245408
0.02157063281961624,0.023301614801284697
0.008258917429359742,0.03099826352444834
0.008599330533384103,0.03979928412433438
0.02020239062450941,0.023935066707023254
0.012995500838926576,0.033052774328042836
0.030085681230698078,0.0086253518992857
0.035702741732122914,0.010226065232441416
0.01572073254176434,0.02839448582022934
0.010251089403227914,0.03210783044551497
0.012114772116018014,0.03247307461725905
0.011965990819694008,0.03031747320760287
0.02452324075729331,0.019292106760945983
0.030074561293168087,0.014914270917947328
0.002326203050742641,0.03694537596548717
0.024240940330085878,0.02245354969035978
0.011364929209819217,0.03781376946978255
0.014078953598069772,0.027389053988241582
0.027841114015146443,0.01310934232518809
0.027519065340988486,0.016791436270861885
0.0177922322316778,0.024066259751649544
0.0034285942829503572,0.051584093568117995
0.02050480898126078,0.02397124432835324
0.007109603965884538,0.03278107398199201
0.0028701073413644985,0.04603745147246574
0.0231810279841157,0.020329490208077092
0.003983083668275817,0.036684174685035965
0.011452478487117959,0.03698715134433143
0.03950498780658342,0.008556014705819352
0.030276152039417154,0.01072285295623211
0.010782724533742514,0.036196715014889164
0.03373220617896982,0.007232755964005933
0.01486699729110045,0.029152530739266717
0.019719818742108642,0.021992252893375898
0.002535508550532712,0.049269516484829336
0.0075164052601421295,0.042209521142153796
0.023056839165096002,0.019200906107213686
0.02798618962489611,0.01661946354989593
0.0161769858974065,0.02844163739842556
0.0035251092495056594,0.0366480877652419
0.026616592903706576,0.0193098032675357
0.0032855604989229393,0.04830223514623953
0.0014040663697259426,0.05098777072801928
0.010208838958432444,0.03191842672823451
0.01336568882938391,0.03367316080592948
0.0028922381848637616,0.03424147333868466
0.01978879871976801,0.025023798391639436
